,country,time-period,sector,energy-type,value(KTOE)
507,Belgium,2016,transport,Natural gas,37.748
508,Belgium,2017,transport,Natural gas,35.764
509,Belgium,2018,transport,Natural gas,43.655
510,Belgium,2019,transport,Natural gas,55.88
511,Belgium,2020,transport,Natural gas,66.487
512,Bulgaria,2009,transport,Natural gas,188.735
513,Bulgaria,2010,transport,Natural gas,206.752
514,Bulgaria,2011,transport,Natural gas,264.423
515,Bulgaria,2012,transport,Natural gas,268.272
516,Bulgaria,2013,transport,Natural gas,252.582
517,Bulgaria,2014,transport,Natural gas,246.543
518,Bulgaria,2015,transport,Natural gas,224.444
519,Bulgaria,2016,transport,Natural gas,217.712
520,Bulgaria,2017,transport,Natural gas,245.976
521,Bulgaria,2018,transport,Natural gas,215.783
522,Bulgaria,2019,transport,Natural gas,141.485
523,Bulgaria,2020,transport,Natural gas,121.488
524,Cyprus,2009,transport,Natural gas,0.0
525,Cyprus,2010,transport,Natural gas,0.0
526,Cyprus,2011,transport,Natural gas,0.0
527,Cyprus,2012,transport,Natural gas,0.0
528,Cyprus,2013,transport,Natural gas,0.0
529,Cyprus,2014,transport,Natural gas,0.0
530,Cyprus,2015,transport,Natural gas,0.0
531,Cyprus,2016,transport,Natural gas,0.0
532,Cyprus,2017,transport,Natural gas,0.0
533,Cyprus,2018,transport,Natural gas,0.0
534,Cyprus,2019,transport,Natural gas,0.0
535,Cyprus,2020,transport,Natural gas,0.0
536,Czechia,2009,transport,Natural gas,72.163
537,Czechia,2010,transport,Natural gas,74.011
538,Czechia,2011,transport,Natural gas,73.022
539,Czechia,2012,transport,Natural gas,51.032
540,Czechia,2013,transport,Natural gas,53.353
541,Czechia,2014,transport,Natural gas,60.684
542,Czechia,2015,transport,Natural gas,66.38
543,Czechia,2016,transport,Natural gas,54.514
544,Czechia,2017,transport,Natural gas,69.948
545,Czechia,2018,transport,Natural gas,74.764
546,Czechia,2019,transport,Natural gas,97.055
547,Czechia,2020,transport,Natural gas,115.386
548,Germany,2009,transport,Natural gas,469.567
549,Germany,2010,transport,Natural gas,500.887
550,Germany,2011,transport,Natural gas,483.511
551,Germany,2012,transport,Natural gas,472.72
552,Germany,2013,transport,Natural gas,453.316
553,Germany,2014,transport,Natural gas,448.73
554,Germany,2015,transport,Natural gas,426.569
555,Germany,2016,transport,Natural gas,445.784
556,Germany,2017,transport,Natural gas,456.981
557,Germany,2018,transport,Natural gas,613.104
558,Germany,2019,transport,Natural gas,783.26
559,Germany,2020,transport,Natural gas,473.002
560,Denmark,2009,transport,Natural gas,0.0
